A,B,C
90.16041,9.07668,0.76291
89.97414,9.40919,0.61667
89.57608,9.42044,1.00348
87.40646,9.08702,3.50652
79.9812,7.61278,12.40602
72.7684,6.19454,21.03706
65.5627,5.24116,29.19614
58.04944,4.70304,37.24751
51.02367,3.68811,45.28822
44.20631,3.05586,52.73783
37.24814,2.25345,60.49841
30.41028,1.70402,67.8857
23.88379,1.32059,74.79562
16.81094,0.76527,82.42379
10.92499,0.0739,89.00111
5.09818,0,94.90182
0.83434,0,99.16566
0.74039,0,99.25961
0.86157,0,99.13843
0.44372,0,99.55628
96.93812,2.78546,0.27642
97.03271,2.51245,0.45484
97.09811,2.57946,0.32243
90.18339,1.61812,8.19849
82.48865,0.77534,16.73601
75.04291,0.32612,24.63096
67.45714,0,32.54286
59.79567,0,40.20433
52.94708,0,47.05292
46.22432,0,53.77568
39.11164,0,60.88836
32.34403,0,67.65597
26.34449,0,73.65551
19.41748,0,80.58252
13.65771,0,86.34229
8.25404,0,91.74596
3.14895,0,96.85105
0.80084,0,99.19916
0.72581,0,99.27419
97.3302,2.22127,0.44853
97.51526,2.1796,0.30514
95.11977,1.79091,3.08932
87.45548,0.67273,11.87178
80.32114,0.16057,19.51829
73.14482,0.14711,26.70807
66.23892,0.2597,33.50137
59.30817,0,40.69183
52.76683,0,47.23317
46.37182,0,53.62818
40.44079,0,59.55921
33.99926,0,66.00074
28.14082,0.36171,71.49747
22.48172,0,77.51828
16.37023,0,83.62977
11.42758,0,88.57242
5.96637,0,94.03363
2.28717,0,97.71283
0.4723,0,99.5277
97.25474,1.95786,0.7874
91.56772,1.36848,7.0638
84.99644,0.49893,14.50463
78.1961,0.03274,21.77116
71.93592,0,28.06408
65.42907,0,34.57093
59.25569,0,40.74431
53.00948,0,46.99052
47.31237,0,52.68763
41.26367,0,58.73633
35.70653,0,64.29347
29.85218,0,70.14782
24.17802,0,75.82198
19.01433,0,80.98567
13.935,0,86.065
8.78021,0,91.21979
3.91591,0,96.08409
88.79133,1.0835,10.12516
82.94393,0.21696,16.83912
76.93989,0,23.06011
70.74453,0,29.25547
64.81897,0,35.18103
59.08303,0,40.91697
53.48097,0,46.51903
47.63019,0,52.36981
42.20139,0,57.79861
37.02859,0,62.97141
31.75835,0,68.24165
26.53347,0,73.46653
21.70009,0,78.29991
16.69129,0,83.30871
11.27339,0,88.72661
81.33291,0,18.66709
75.55222,0,24.44778
69.73148,0,30.26852
64.35365,0,35.64635
58.99987,0,41.00013
53.29319,0,46.70681
47.95943,0,52.04057
42.89439,0,57.10561
37.92615,0,62.07385
33.2754,0,66.7246
28.57143,0,71.42857
23.76748,0,76.23252
18.9155,0,81.0845
74.28159,0,25.71841
69.0706,0,30.9294
63.98998,0,36.01002
58.55499,0,41.44501
53.86141,0,46.13859
48.82532,0,51.17468
44.23609,0,55.76391
39.40869,0,60.59131
34.74912,0,65.25088
30.23175,0,69.76825
25.72218,0,74.27782
63.72829,0,36.27171
58.73239,0,41.26761
54.63622,0,45.36378
49.64149,0,50.35851
44.95749,0,55.04251
40.60534,0,59.39466
36.27071,0,63.72929
