x,y,ID 
27000,4500,1
31500,4500,2
36000,4500,3
40500,4500,4
45000,4500,5
49500,4500,6
54000,4500,7
58500,4500,8
63000,4500,9
67500,4500,10
72000,4500,11
22500,9000,12
27000,9000,13
31500,9000,14
36000,9000,15
40500,9000,16
45000,9000,17
49500,9000,18
54000,9000,19
58500,9000,20
63000,9000,21
67500,9000,22
72000,9000,23
76500,9000,24
18000,13500,25
22500,13500,26
27000,13500,27
31500,13500,28
36000,13500,29
40500,13500,30
45000,13500,31
49500,13500,32
54000,13500,33
58500,13500,34
63000,13500,35
67500,13500,36
72000,13500,37
76500,13500,38
81000,13500,39
13500,18000,40
18000,18000,41
22500,18000,42
27000,18000,43
31500,18000,44
36000,18000,45
40500,18000,46
45000,18000,47
49500,18000,48
54000,18000,49
58500,18000,50
63000,18000,51
67500,18000,52
72000,18000,53
76500,18000,54
81000,18000,55
85500,18000,56
9000,22500,57
13500,22500,58
18000,22500,59
22500,22500,60
27000,22500,61
31500,22500,62
36000,22500,63
40500,22500,64
45000,22500,65
49500,22500,66
54000,22500,67
58500,22500,68
63000,22500,69
67500,22500,70
72000,22500,71
76500,22500,72
81000,22500,73
85500,22500,74
90000,22500,75
9000,27000,76
13500,27000,77
18000,27000,78
22500,27000,79
27000,27000,80
31500,27000,81
36000,27000,82
40500,27000,83
45000,27000,84
49500,27000,85
54000,27000,86
58500,27000,87
63000,27000,88
67500,27000,89
72000,27000,90
76500,27000,91
81000,27000,92
85500,27000,93
90000,27000,94
4500,31500,95
9000,31500,96
13500,31500,97
18000,31500,98
22500,31500,99
27000,31500,100
31500,31500,101
36000,31500,102
40500,31500,103
45000,31500,104
49500,31500,105
54000,31500,106
58500,31500,107
63000,31500,108
67500,31500,109
72000,31500,110
76500,31500,111
81000,31500,112
85500,31500,113
90000,31500,114
94500,31500,115
4500,36000,116
9000,36000,117
13500,36000,118
18000,36000,119
22500,36000,120
27000,36000,121
31500,36000,122
36000,36000,123
40500,36000,124
45000,36000,125
49500,36000,126
54000,36000,127
58500,36000,128
63000,36000,129
67500,36000,130
72000,36000,131
76500,36000,132
81000,36000,133
85500,36000,134
90000,36000,135
94500,36000,136
4500,40500,137
9000,40500,138
13500,40500,139
18000,40500,140
22500,40500,141
27000,40500,142
31500,40500,143
36000,40500,144
40500,40500,145
45000,40500,146
49500,40500,147
54000,40500,148
58500,40500,149
63000,40500,150
67500,40500,151
72000,40500,152
76500,40500,153
81000,40500,154
85500,40500,155
90000,40500,156
94500,40500,157
4500,45000,158
9000,45000,159
13500,45000,160
18000,45000,161
22500,45000,162
27000,45000,163
31500,45000,164
36000,45000,165
40500,45000,166
45000,45000,167
49500,45000,168
54000,45000,169
58500,45000,170
63000,45000,171
67500,45000,172
72000,45000,173
76500,45000,174
81000,45000,175
85500,45000,176
90000,45000,177
94500,45000,178
4500,49500,179
9000,49500,180
13500,49500,181
18000,49500,182
22500,49500,183
27000,49500,184
31500,49500,185
36000,49500,186
40500,49500,187
45000,49500,188
49500,49500,189
54000,49500,190
58500,49500,191
63000,49500,192
67500,49500,193
72000,49500,194
76500,49500,195
81000,49500,196
85500,49500,197
90000,49500,198
94500,49500,199
4500,54000,200
9000,54000,201
13500,54000,202
18000,54000,203
22500,54000,204
27000,54000,205
31500,54000,206
36000,54000,207
40500,54000,208
45000,54000,209
49500,54000,210
54000,54000,211
58500,54000,212
63000,54000,213
67500,54000,214
72000,54000,215
76500,54000,216
81000,54000,217
85500,54000,218
90000,54000,219
94500,54000,220
4500,58500,221
9000,58500,222
13500,58500,223
18000,58500,224
22500,58500,225
27000,58500,226
31500,58500,227
36000,58500,228
40500,58500,229
45000,58500,230
49500,58500,231
54000,58500,232
58500,58500,233
63000,58500,234
67500,58500,235
72000,58500,236
76500,58500,237
81000,58500,238
85500,58500,239
90000,58500,240
94500,58500,241
9000,63000,242
13500,63000,243
18000,63000,244
22500,63000,245
27000,63000,246
31500,63000,247
36000,63000,248
40500,63000,249
45000,63000,250
49500,63000,251
54000,63000,252
58500,63000,253
63000,63000,254
67500,63000,255
72000,63000,256
76500,63000,257
81000,63000,258
85500,63000,259
90000,63000,260
9000,67500,261
13500,67500,262
18000,67500,263
22500,67500,264
27000,67500,265
31500,67500,266
36000,67500,267
40500,67500,268
45000,67500,269
49500,67500,270
54000,67500,271
58500,67500,272
63000,67500,273
67500,67500,274
72000,67500,275
76500,67500,276
81000,67500,277
85500,67500,278
90000,67500,279
13500,72000,280
18000,72000,281
22500,72000,282
27000,72000,283
31500,72000,284
36000,72000,285
40500,72000,286
45000,72000,287
49500,72000,288
54000,72000,289
58500,72000,290
63000,72000,291
67500,72000,292
72000,72000,293
76500,72000,294
81000,72000,295
85500,72000,296
18000,76500,297
22500,76500,298
27000,76500,299
31500,76500,300
36000,76500,301
40500,76500,302
45000,76500,303
49500,76500,304
54000,76500,305
58500,76500,306
63000,76500,307
67500,76500,308
72000,76500,309
76500,76500,310
81000,76500,311
22500,81000,312
27000,81000,313
31500,81000,314
36000,81000,315
40500,81000,316
45000,81000,317
49500,81000,318
54000,81000,319
58500,81000,320
63000,81000,321
67500,81000,322
72000,81000,323
76500,81000,324
27000,85500,325
31500,85500,326
36000,85500,327
40500,85500,328
45000,85500,329
49500,85500,330
54000,85500,331
58500,85500,332
63000,85500,333
67500,85500,334
72000,85500,335
36000,90000,336
40500,90000,337
45000,90000,338
49500,90000,339
54000,90000,340
58500,90000,341
63000,90000,342
